MRP,SP,cat_url,description,img_url,product_url,title,
73,68,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Make your dishes extra special with Amul Fresh Paneer, and bite into succulent bites of fresh, tender and creamy paneer. Popularly known as Indian cottage cheese, Amul Fresh Paneer gives a delicious flavour profile to the culinary preparation, and also in an immense source of protein. Go ahead and buy this product online today!",https://www.jiomart.com/images/product/420x420/490174895/amul-paneer-fresh-200-gm-pp-0-20200526.jpg,https://www.jiomart.com/p/groceries/amul-fresh-paneer-200-g-pack/490174895,Amul Fresh Paneer 200 g (Pack),
48,44.64,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Who doesn't like a chunk of creamy, velvety, smooth and mouth-watering butter? Made with fresh ingredients, Amul Pasteurised Butter is a multi-purpose butter that can be used as a spread on bread, paratha, roti, naan and sandwiches. It also makes an excellent topping for Pav-bhaji, dal, soups, salads, rice as well as a great cooking medium for butter Paneer, Dal Makhni and a variety of delightful recipes. So what are you waiting for? Buy this product online today!",https://www.jiomart.com/images/product/420x420/490001387/amul-pasteurised-butter-100-g-0-20200621.jpeg,https://www.jiomart.com/p/groceries/amul-pasteurised-butter-100-g/490001387,Amul Butter 100 g (Carton),
64,60,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"What better way to start your day than a glass of nutritious milk? Amul Taaza Homogenised Toned Long Life Milk comes with high calcium and protein content. Further, it is processed with consistency preventing cream layer formation on top. This makes it a perfect pick for your daily diet if you want to maintain your body weight while enjoying the goodness of milk. Buy this product online today.",https://www.jiomart.com/images/product/420x420/490010311/amul-taaza-homogenised-toned-long-life-milk-1-l-tetra-pak--0-20200621.jpeg,https://www.jiomart.com/p/groceries/amul-taaza-homogenised-toned-long-life-milk-1-l-tetra-pak/490010311,Amul Taaza Homogenised Toned Long Life Milk 1 L (Tetra Pak),
485,449,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"For all your cooking needs, look no further than Amul Pure Ghee. With a long shelf-life and rich aroma, this is an ideal product for your kitchen and serves as a good Vitamin A source. It is clarified butter in its purest form and you can use it for a variety of purposes. Buy Amul Pure Ghee online now!",https://www.jiomart.com/images/product/420x420/490010164/amul-pure-ghee-1-l-pouch-0-20200901.jpg,https://www.jiomart.com/p/groceries/amul-pure-ghee-1-l-pouch/490010164,Amul Pure Ghee 1 L (Pouch),
235,218,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Who doesn't like a chunk of creamy, velvety, smooth and mouth-watering butter? Made with fresh ingredients, Amul Pasteurised Butter is a multi-purpose butter that can be used as a spread on bread, paratha, roti, naan and sandwiches. It also makes an excellent topping for Pav-bhaji, dal, soups, salads, rice as well as a great cooking medium for butter Paneer, Dal Makhni and a variety of delightful recipes. So what are you waiting for? Buy this product online today!",https://www.jiomart.com/images/product/420x420/490001392/amul-pasteurised-butter-500-g-0-20200621.jpeg,https://www.jiomart.com/p/groceries/amul-pasteurised-butter-500-g/490001392,Amul Pasteurised Butter 500 g (Carton),
38,19,https://www.jiomart.com/c/groceries/dairy-bakery/toast-khari/102,"Fresh like bakery, without any preservatives, Introducing Freshly Baked Rusk It tastes just like homemade rusk and tastes the best. So order online today and share it as tea time snack or enjoy in breakfast.",https://www.jiomart.com/images/product/420x420/491390124/freshly-baked-rusk-200gm-0-20200518.jpg,https://www.jiomart.com/p/groceries/freshly-baked-rusk-200-gm/491390124,Freshly Baked Rusk 200 g,
60,45,https://www.jiomart.com/c/groceries/dairy-bakery/toast-khari/102,"Make your snack time perfect with Parle Elaichi Rusk. This tasty and delicious toast can be enjoyed anytime and anywhere over tea or coffee. It is made up of the finest ingredients and has no trans fat. So, go ahead buy Parle Elaichi Rusk online now.",https://www.jiomart.com/images/product/420x420/491419181/parle-elaichi-rusk-400-g-0-20200628.jpg,https://www.jiomart.com/p/groceries/parle-elaichi-rusk-400-g/491419181,Parle Elaichi Rusk 400 g,
40,30,https://www.jiomart.com/c/groceries/dairy-bakery/toast-khari/102,"Make your snack time perfect with Parle Real Elaichi Premium Rusk. This tasty and delicious toast can be enjoyed anytime and anywhere over tea or coffee. It is made up of finest ingredients to give you the best quality product. So, go ahead buy Parle Real Elaichi Premium Rusk online now.",https://www.jiomart.com/images/product/420x420/491213993/parle-real-elaichi-premium-rusk-273-g-0-20200621.jpeg,https://www.jiomart.com/p/groceries/parle-real-elaichi-premium-rusk-273-g/491213993,Parle Real Elaichi Premium Rusk 273 g,
40,36,https://www.jiomart.com/c/groceries/dairy-bakery/toast-khari/102,"The Britannia Toastea Premium Bake Rusk is a twice-baked dried bread, also referred to as the 'toast biscuit'. You can have these rusks as it is or along with your tea or coffee. You can also spread some butter, jam or cheese over them and make a wholesome snack of it. These rusks are prepared using premium quality ingredients to give you an authentic taste. So go ahead, buy Britannia Toastea Premium Bake Rusk and make tea-time more fun. ",https://www.jiomart.com/images/product/420x420/490007739/britannia-toastea-premium-bake-rusk-273-g-0-20200621.jpeg,https://www.jiomart.com/p/groceries/britannia-toastea-premium-bake-rusk-273-g/490007739,Britannia Toastea Premium Bake Rusk 273 g,
40,37.2,https://www.jiomart.com/c/groceries/dairy-bakery/breads-and-buns/267,"Make delicious sandwiches and toasts with Britannia 100% Whole Wheat Bread. This bread is made from finest ingredients that are baked to perfection to make this soft & spongy bread. Go ahead, buy this product online now!",https://www.jiomart.com/images/product/420x420/491127282/britannia-100-whole-wheat-bread-400-g-0-20200826.jpg,https://www.jiomart.com/p/groceries/britannia-100-whole-wheat-bread-400-g/491127282,Britannia 100% Whole Wheat Bread 400 g,
15,13.5,https://www.jiomart.com/c/groceries/dairy-bakery/cakes-muffins/125,"Every bite of the Monginis Chocolate Veg Bar Cake will leave you craving for more. It can be had as a standalone snack or as an accompaniment to various dishes. It tastes great along with tea, but you can have it without tea also. What's more, its made with the finest ingredients so that you get a product that combines quality and affordability at the same time. So go ahead, order now!",https://www.jiomart.com/images/product/420x420/491161365/monginis-chocolate-veg-bar-cake-60-g-0-20200629.jpg,https://www.jiomart.com/p/groceries/monginis-chocolate-veg-bar-cake-60-g/491161365,Monginis Chocolate Veg Bar Cake 60 g,
15,13.5,https://www.jiomart.com/c/groceries/dairy-bakery/cakes-muffins/125,"Craving for something sweet? Indulge in the Monginis Fruit Veg Bar Cake, a sumptuous treat you don't want to miss. Its soft texture and rich flavour, make it one of the most loved desserts. It is also the perfect accompaniment to your tea or coffee. This cake can be served even at impromptu gatherings with friends and family. What are you waiting for? Go ahead, buy this Monginis Fruit Veg Bar Cake online today!",https://www.jiomart.com/images/product/420x420/491161364/monginis-fruit-veg-bar-cake-65-g-0-20200814.jpg,https://www.jiomart.com/p/groceries/monginis-fruit-veg-bar-cake-65-g/491161364,Monginis Fruit Veg Bar Cake 65 g,
450,375,https://www.jiomart.com/c/groceries/staples/atta-flours-sooji/26,"Aashirvaad Whole Wheat Atta provides the goodness of health in every bite. This product incorporates many benefits of wheat and lets your body maintain a nutrient balance. It is made of nutritious wheat grains. Also, it has a sweet taste that gives you fuller and softer rotis, every single time. Buy Aashirvaad Whole Wheat Atta online now.",https://www.jiomart.com/images/product/420x420/490000041/aashirvaad-whole-wheat-atta-10-kg-0-20200621.jpeg,https://www.jiomart.com/p/groceries/aashirvaad-whole-wheat-atta-10-kg/490000041,Aashirvaad Whole Wheat Atta 10 kg,
80,77,https://www.jiomart.com/c/groceries/staples/dals-pulses/17,Chana Dal is a rich source of protein and can be used in variety of recipes. It's grown under specific conditions that increase the nutritive value. Chana dal is dried and roasted to remove moisture. Buy Loose Chana Dal online now!,https://www.jiomart.com/images/product/420x420/490155015/loose-chana-dal-1-kg-0-20200522.jpg,https://www.jiomart.com/p/groceries/loose-chana-dal-1-kg/490155015,Loose Chana Dal 1 kg,
569,395,https://www.jiomart.com/c/groceries/staples/rice-rice-products/14,"Charminar Select Basmati Rice has been an integral part of different rice recipes in every Indian household. It is highly nutritious as this rice is processed under the supervision of experts. It can be used in a variety of rice dishes including biryani, pulao, and other Indian dishes. One can have it with meat, curries, dals and many more food items. Buy Charminar Select Basmati Rice online now!",https://www.jiomart.com/images/product/420x420/490000006/kohinoor-charminar-select-basmati-rice-5-kg-0-20200621.jpeg,https://www.jiomart.com/p/groceries/kohinoor-charminar-select-basmati-rice-5-kg/490000006,Kohinoor Charminar Select Basmati Rice 5 kg,
169,99,https://www.jiomart.com/c/groceries/staples/rice-rice-products/14,"This super value basmati rice brings to you the value of basmati rice, super aroma & superior length with supreme taste experience and enhances the complete appeal of the dish you prepared every day for your loved ones. Buy Kohinoor Super Authentic Basmati Rice online now!",https://www.jiomart.com/images/product/420x420/491361267/kohinoor-super-value-basmati-rice-1-kg-0-20200923.jpg,https://www.jiomart.com/p/groceries/kohinoor-super-value-basmati-rice-1-kg/491361267,Kohinoor Super Authentic Basmati Rice 1 kg,
115,79,https://www.jiomart.com/c/groceries/staples/rice-rice-products/14,"Kohinoor Charminar Select Basmati Rice has been an integral part of different rice recipes in every Indian household. It is highly nutritious as this rice is processed under the supervision of experts. It can be used in the preparation of a variety of rice dishes including biryani, pulao, and other Indian dishes. One can have it with meat, curry, dal and many more food items. Buy Kohinoor Charminar Select Basmati Rice online now!",https://www.jiomart.com/images/product/420x420/490000001/kohinoor-charminar-select-basmati-rice-1-kg-0-20200922.jpg,https://www.jiomart.com/p/groceries/kohinoor-charminar-select-basmati-rice-1-kg/490000001,Kohinoor Charminar Select Basmati Rice 1 kg,
150,125,https://www.jiomart.com/c/groceries/staples/edible-oils/58,"Rice Bran Oil is a special cooking oil extracted from the brown layer of brown rice which is called rice bran. This oil is also called as heart oil as it is a health-friendly oil. It instantly enhances the flavour of your food, giving it an aromatic taste. Buy Fortune Rice Bran Oil online now.",https://www.jiomart.com/images/product/420x420/491019561/fortune-rice-bran-oil-1-l-0-20200627.jpg,https://www.jiomart.com/p/groceries/fortune-rice-bran-oil-1-l/491019561,Fortune Rice Bran Oil 1 L,
140,125,https://www.jiomart.com/c/groceries/staples/edible-oils/58,Gemini Refined Sunflower Oil is a healthy and nutritious oil. It is rich in natural Vitamins and makes you feel light and active after heavy food intake. Sunflower Oil is the healthiest oil due to its variety of health-enhancing nutrients. This makes an excellent option for boosting the nutritional content of food. Buy Gemini Refined Sunflower Oil online now!,https://www.jiomart.com/images/product/420x420/490012719/gemini-refined-sunflower-oil-1-l-pouch--0-20200621.jpeg,https://www.jiomart.com/p/groceries/gemini-refined-sunflower-oil-1-l-pouch/490012719,Gemini Refined Sunflower Oil 1 L (Pouch),
149,96,https://www.jiomart.com/c/groceries/staples/edible-oils/58,Super Sarvottam Rice Bran Oil is a special cooking oil extracted from the brown layer of brown rice which is called rice bran. It instantly enhances the flavour of your food. Buy Super Sarvottam Rice Bran Oil online today.,https://www.jiomart.com/images/product/420x420/491504124/super-sarvottam-rice-bran-oil-1-l-pouch-0-20200909.jpg,https://www.jiomart.com/p/groceries/super-sarvottam-rice-bran-oil-1-l-pouch/491504124,Super Sarvottam Physicaly Refined 100% Rice Bran Oil 1 L (Pouch),
68,52,https://www.jiomart.com/c/groceries/staples/masalas-spices/21,"Chilli powder is the ingredient that can turn any simple dish into a hot and spicy one! Add a teaspoon of Good Life Chilli Powder to your homemade khichdi, bhaji, chutney, veg and non-veg curry or sprinkle on your chaat, dosa and dahi vada for a hot and peppery twist. Buy this product online today.",https://www.jiomart.com/images/product/420x420/491185049/good-life-chilli-powder-200-g-0-20200628.jpg,https://www.jiomart.com/p/groceries/good-life-chilli-powder-200-g/491185049,Good Life Chilli Powder 200 g,
27,21,https://www.jiomart.com/c/groceries/staples/masalas-spices/21,"Mustard Seeds (Rai) are tiny and strong flavoured seeds used most commonly in Indian cuisines. They are used in pickling, sausage-making and tempering vegetable dishes. Buy Good Life Big Mustard online today.",https://www.jiomart.com/images/product/420x420/491185142/good-life-big-mustard-200-g-0-20200628.jpg,https://www.jiomart.com/p/groceries/good-life-big-mustard-200-g/491185142,Good Life Big Mustard 200 g,
41,35.67,https://www.jiomart.com/c/groceries/staples/masalas-spices/21,"Chilli powder is the ingredient that can turn any simple dish into a hot and spicy one! Add a teaspoon of Everest Tikhalal Chilli Powder to your homemade khichdi, bhaji, chutney, veg and non-veg curry or sprinkle on your chaat, dosa and dahi vada for a hot and peppery twist. Buy this product online today.",https://www.jiomart.com/images/product/420x420/490000109/everest-tikhalal-chilli-powder-100-g-0-20200621.jpeg,https://www.jiomart.com/p/groceries/everest-tikhalal-chilli-powder-100-g/490000109,Everest Tikhalal Chilli Powder 100 g,
63,54.81,https://www.jiomart.com/c/groceries/staples/masalas-spices/21,"Everest Chhole Masala is a ready-to-add masala that gives you restaurant-style chhole curry in minutes. Add a teaspoon of this powder to your gravy, garnish with fresh coriander and serve hot with bhature, paratha or steamed rice. Make tasty chhole curry at home, buy this product online today.",https://www.jiomart.com/images/product/420x420/490000173/everest-chhole-masala-100-g-0-20200805.jpg,https://www.jiomart.com/p/groceries/everest-chhole-masala-100-g/490000173,Everest Chhole Masala 100 g,
36,16,https://www.jiomart.com/c/groceries/staples/masalas-spices/21,"Almost every Indian food is incomplete without a spoonful of coriander powder. Right from dal fry to Indian curries, coriander is the most essential ingredient that adds flavour and texture to a dish. Good Life brings you the best coriander powder from Indian towns that is expertly handpicked and grounded to suit every preparation. What are you waiting for? Buy Good Life Coriander Powder online today.",https://www.jiomart.com/images/product/420x420/491185047/good-life-coriander-powder-100-g-0-20200628.jpg,https://www.jiomart.com/p/groceries/good-life-coriander-powder-100-g/491185047,Good Life Coriander Powder 100 g,
30,27.9,https://www.jiomart.com/c/groceries/snacks-branded-foods/snacks-namkeen/43,Parle's Classic Salted Wafers are appetizing wafers made from the finest quality ingredients that are delectable to the palate and will make you crave for more with each and every bite. Serve them to your guests during get-togethers and parties for fun-filled and memorable times. So go ahead and buy Parle's Classic Salted Wafers online now.,https://www.jiomart.com/images/product/420x420/491231697/parle-s-classic-salted-wafers-80-g-0-20200621.jpeg,https://www.jiomart.com/p/groceries/parle-s-classic-salted-wafers-80-g/491231697,Parle's Classic Salted Wafers 70 g,
40,37.2,https://www.jiomart.com/c/groceries/snacks-branded-foods/chocolates-candies/70,"Pamper your little one's sweet tooth by surprising him with a cute Kinder Joy egg that consists of milky cocoa spreads with 2 coats of wafer biscuits. This is a favourite among kids as it gives 2 things in 1 package, a yummy chocolate and a smart game to play with. Children will love to get this tiny bundle of joy as a surprise gift.",https://www.jiomart.com/images/product/420x420/490309134/kinder-joy-for-boy-chocolate-egg-20-g-0-20200725.jpg,https://www.jiomart.com/p/groceries/kinder-joy-for-boy-chocolate-egg-20-g/490309134,Kinder Joy for Boy Chocolate Egg 20 g,
20,18.6,https://www.jiomart.com/c/groceries/snacks-branded-foods/chocolates-candies/70,"Cadbury Dairy Milk Chocolate is for those everyday moments of joy that you want to share with your near and dear ones with something sweet. Just one bite will take you into the world of warmth, happiness, and spontaneous fun. This rich, smooth and creamy classic chocolate will give you more joy in every bite.",https://www.jiomart.com/images/product/420x420/490000242/cadbury-dairy-milk-chocolate-bar-25-3-g-0-20200722.jpg,https://www.jiomart.com/p/groceries/cadbury-dairy-milk-chocolate-bar-25-3-g/490000242,Cadbury Dairy Milk Chocolate Bar 25.3 g,
40,32,https://www.jiomart.com/c/groceries/snacks-branded-foods/chocolates-candies/70,"The world's best-selling chocolate bar, Snickers is crammed with peanuts, caramel and nougat then coated with milk chocolate. It's an ideal choice for regular chocolate which is combined with the goodness of fine ingredients to make a bar of delicious chocolate that fits any occasion. Buy Snickers online today!",https://www.jiomart.com/images/product/420x420/490000493/snickers-chocolate-bar-50-g-0-20200621.jpeg,https://www.jiomart.com/p/groceries/snickers-chocolate-bar-50-g/490000493,Snickers Chocolate Bar 50 g,
140,93.34,https://www.jiomart.com/c/groceries/snacks-branded-foods/chocolates-candies/70,Lotte Choco Pie is a cream filled biscuit dipped in yummy Chocolate. It's a filling chocolate snack from Lotte. It can be an expression of your way of thinking and a simply tasty treat to say you are thinking of someone special. So buy Lotte Choco Pie Cream Filled Biscuit online today!,https://www.jiomart.com/images/product/420x420/490009614/lotte-choco-pie-creamfilled-biscuit-336-g-0-20201016.jpg,https://www.jiomart.com/p/groceries/lotte-choco-pie-creamfilled-biscuit-336-g/490009614,Lotte Choco Pie Creamfilled Biscuit 336 g,
50,47.5,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Buttermilk is a tangy and spicy drink, preferred by both elders and children alike, especially during the scorching summer days. The unique assortment of spices used in the buttermilk gives a refreshing kick to the taste buds. Enjoy the goodness of nature in every sip of Amul Masti Spiced Buttermilk. Buy this product online today.",https://www.jiomart.com/images/product/420x420/490001781/amul-masti-spiced-buttermilk-1-l-tetra-pak-0-20200926.jpg,https://www.jiomart.com/p/groceries/amul-masti-spiced-buttermilk-1-l-tetra-pak/490001781,Amul Masti Spiced Buttermilk 1 L (Tetra Pak),
125,99,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Bring an oozing twist to your dishes with Go Pizza Cheese. It is a good source of calcium and milk proteins. Cheese can give a lip-smacking flavour to every dish, you can either consume it whole, or can even melt it in your food. So go ahead and buy this product online today.",https://www.jiomart.com/images/product/420x420/490628721/go-pizza-cheese-200-g-carton-0-20200930.jpg,https://www.jiomart.com/p/groceries/go-pizza-cheese-200-g/490628721,Go Pizza Cheese 200 g (Carton),
197,185,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Amul Fresh Cooking Cream is made of fresh and pure milk cream. It gives a smooth consistency in all your mouth-watering dishes. Be it your regular tea or coffee, or fruit salads, ice creams or paneer makhanwala, this cream makes your dish rich and delicious. It is further sterilised at a high temperature and packed aseptically to ensure that the cream stays fresh until opened. Buy this product online today.",https://www.jiomart.com/images/product/420x420/490001540/amul-fresh-cooking-cream-1-l-tetra-pak--0-20200621.jpeg,https://www.jiomart.com/p/groceries/amul-fresh-cooking-cream-1-l-tetra-pak/490001540,Amul Fresh Cooking Cream 1 L (Tetra Pak),
57,53.01,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Looking for simpler ways to smear the butter on your bread? Then look no more, as Amul School Pack Butter comes with ten tiny units of single usage butter, making it all the way hassle-free! Whenever you or your kids want that buttery smear on bread toast or parathas, Amul School Pack Butter comes in handy. Go ahead and buy this product online today.",https://www.jiomart.com/images/product/420x420/490306318/amul-school-pack-butter-100-g-pack-0-20201007.jpg,https://www.jiomart.com/p/groceries/amul-butter-school-pack-100-g-pack/490306318,Amul School Pack Butter 100 g (Pack),
150,135,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Britannia Cheezza is prepared from pure, fresh pasteurized cheese. It is thick, creamy and rich glossy texture, and food tastes even more delicious at the snap of your fingers with it. Go ahead and buy Britannia Cheezza online today!",https://www.jiomart.com/images/product/420x420/490001400/britannia-cheezza-200-g-carton-0-20200826.jpg,https://www.jiomart.com/p/groceries/britannia-cheezza-200-g-carton/490001400,Britannia Cheezza 200 g (Carton),
400,299,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Bring an oozing twist to your dishes with Britannia Cheese Slices. It is a good source of calcium and milk proteins. Cheese can give a lip-smacking flavour to every dish, you can either consume it whole, or can even melt it in your food. So go ahead and buy this product online today.",https://www.jiomart.com/images/product/420x420/490001396/britannia-cheese-slices-480-g-pack-0-20201007.jpg,https://www.jiomart.com/p/groceries/britannia-cheese-slices-480-g-pack/490001396,Britannia Cheese Slices 480 g (Pack),
212,185.01,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"There's no greater joy than finding a milk powder that works as a healthy substitute for milk with zero compromises in the natural taste. Amulya Dairy Whitener made from wholesome milk adds the right texture and taste to your tea, cakes, cookies, sweets, and smoothies. Buy this product online today.",https://www.jiomart.com/images/product/420x420/490011303/amulya-dairy-whitener-500-g-pouch-0-20200924.jpeg,https://www.jiomart.com/p/groceries/amulya-dairy-whitener-500-g-pouch/490011303,Amulya Dairy Whitener 500 g (Pouch),
360,180,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Bring an oozing twist to your dishes with GO Cheese Slices. It is a good source of calcium and milk proteins. Cheese can give a lip-smacking flavour to every dish, you can either consume it whole, or can even melt it in your food. So go ahead and buy this product online today.",https://www.jiomart.com/images/product/420x420/490800934/gowardhan-plain-cheese-slices-476-g-pouch-0-20200826.jpg,https://www.jiomart.com/p/groceries/gowardhan-cheese-slices-plain-476-g/490800934,GO Cheese Slices (Plain) 476 g (Pouch),
62,56,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Nandini Goodlife Toned Long Life Milk is healthy and tasty till the last drop. It is homogenized to evenly distribute the cream content in the milk, making it thicker and tastier. It gives your children the energy to stay active throughout work and play. Consume it directly or add to your favourite desserts, puddings or daily cup of tea/coffee. Buy this product online today.",https://www.jiomart.com/images/product/420x420/490478026/nandini-goodlife-toned-long-life-milk-1-l-tetra-pak-0-20200910.jpg,https://www.jiomart.com/p/groceries/nandini-goodlife-toned-long-life-milk-1-l-tetra-pak/490478026,Nandini Goodlife Toned Long Life Milk 1 L (Tetra Pak),
260,241.8,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Amul Cow Ghee is excellent for cooking and also stir-frying. Ghee can be consumed for better digestion. It stimulates muscle movements, strengthens the sense organs, nourishes the skin and improves complexion. Buy Amul Cow Ghee online now!",https://www.jiomart.com/images/product/420x420/490011305/amul-cow-ghee-500-ml-pouch--0-20200621.jpeg,https://www.jiomart.com/p/groceries/amul-cow-ghee-500-ml-pouch/490011305,Amul Cow Ghee 500 ml (Pouch),
198,148,https://www.jiomart.com/c/groceries/personal-care/health-wellness/165,Durex provides a wide range of sexual wellness products. Condoms help in reducing the risk of transmitting diseases by blocking the exchange of fluids during intimacy. The Durex Extra Ribbed Condoms are used for added stimulation. It enhances the pleasure of your intimate moments. The easy-on shape and teat end provides easy comfort and fit. So go ahead and buy this product online today!,https://www.jiomart.com/images/product/420x420/491420394/durex-extra-ribbed-condoms-10-pcs-0-20200518.jpg,https://www.jiomart.com/p/groceries/durex-extra-ribbed-condoms-10-pcs/491420394,Durex Extra Ribbed Condoms 10 pcs,
90,75,https://www.jiomart.com/c/groceries/personal-care/health-wellness/165,"Dabur Honitus Cough Remedy Syrup is an ayurvedic medicine for the cough that is fortified with tulsi, mulethi & banapsha and other powerful scientifically proven medicinal plants as recommended by Ayurveda. The formulation is clinically proven and provides fast relief against an acute cough and throat irritation. It is 100 per cent Ayurvedic and safe. So go ahead and buy Dabur Honitus Cough Remedy Syrup online today!",https://www.jiomart.com/images/product/420x420/490190076/dabur-honitus-cough-syrup-100-ml-0-20200518.jpg,https://www.jiomart.com/p/groceries/dabur-honitus-cough-remedy-syrup-100-ml/490190076,Dabur Honitus Cough Remedy Syrup 100 ml,
